SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,SCQ_11,SCQ_12,SCQ_13,SCQ_14,SCQ_15,SCQ_16,SCQ_17,SCQ_18,SCQ_19,SCQ_20,SCQ_21,SCQ_22,SCQ_23,SCQ_24,SCQ_25,SCQ_26,SCQ_27,SCQ_28,SCQ_29,SCQ_30,SCQ_31,SCQ_32,SCQ_33,SCQ_34,SCQ_35,SCQ_36,SCQ_37,SCQ_38,SCQ_39,SCQ_40,SCQ_41,SCQ_42,SCQ_43,SCQ_44,SCQ_45,SCQ_46,SCQ_47,SCQ_48,SCQ_49,age,sex
5,1,5,5,4,4,5,4,99,5,5,5,5,5,5,5,5,5,1,5,5,1,4,4,4,4,4,5,5,4,5,5,5,5,5,3,1,5,5,5,1,99,4,3,5,3,3,5,4,50,2
5,1,4,2,5,4,5,4,4,5,5,5,4,5,5,4,4,5,1,5,5,1,5,4,5,5,3,3,5,5,1,5,4,4,4,5,5,4,5,5,1,1,5,4,4,1,5,4,4,36,2
2,4,3,3,3,3,4,5,4,3,3,1,99,2,4,2,4,2,3,2,4,4,2,4,4,2,4,4,4,4,5,2,4,4,3,4,3,2,4,5,3,1,5,2,3,1,4,2,4,57,1
4,3,5,5,5,5,99,99,5,4,5,3,5,4,4,2,4,4,3,3,4,5,4,4,4,4,4,99,4,99,3,4,2,2,4,2,4,99,5,1,5,1,5,1,99,1,99,99,2,25,1
5,2,4,5,4,5,5,5,4,5,99,4,4,5,4,4,99,4,2,4,99,2,4,4,4,5,4,5,4,5,4,5,4,5,5,4,2,5,4,4,2,2,4,3,4,3,4,3,4,51,2
4,2,4,4,4,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,2,3,4,4,3,3,4,4,4,3,3,4,3,3,2,2,3,3,3,2,3,4,3,4,3,4,4,4,27,2
4,5,5,4,4,4,3,5,4,5,4,4,4,4,4,4,5,4,2,4,5,2,5,5,4,4,4,5,5,4,4,5,4,4,5,5,4,5,5,5,5,1,5,1,99,2,3,4,5,41,1
4,4,4,4,5,4,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,1,4,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,4,5,4,5,2,5,5,41,2
4,99,5,99,5,4,5,5,5,5,5,99,5,5,4,5,4,99,5,5,99,1,5,4,5,4,99,5,4,5,5,5,5,5,4,99,5,5,5,5,4,5,5,4,5,4,2,5,5,47,2
3,1,4,4,4,4,4,4,4,4,5,4,5,4,5,3,4,4,1,4,5,2,4,4,5,99,4,4,4,5,4,3,2,3,4,2,4,5,4,4,2,4,4,3,4,2,2,3,3,35,2
5,2,5,4,4,4,3,5,5,4,4,4,4,5,4,4,4,5,1,5,5,1,5,5,5,4,4,4,4,5,4,4,4,4,4,2,2,5,5,5,2,1,5,3,5,2,2,3,4,35,1
3,2,3,3,3,3,3,4,3,4,4,3,4,4,3,3,4,3,3,3,3,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,1,3,2,4,3,2,3,2,39,2
5,99,5,5,4,5,5,5,4,5,5,4,4,5,5,99,5,5,5,99,5,1,4,4,5,5,5,99,5,4,99,99,5,5,99,99,4,4,4,4,4,1,99,5,99,4,3,4,5,44,1
